Nama,Rating,Ulasan
Farid Add,5 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,1 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,5 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,1 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,1 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,5 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,1 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,5 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,1 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,3 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,5 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,1 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,3 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,3 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,1 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,5 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,1 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,5 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,1 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,1 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,3 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,1 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,3 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,1 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,1 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,5 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,1 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,5 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,1 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,1 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,5 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,1 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,5 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,1 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,1 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,3 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,1 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,5 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,1 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,1 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,3 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,1 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,5 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,3 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,1 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,3 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,3 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,5 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
Kadek Herda,3 bintang,"Kami sadar hanya pasien kelas 3 PBI. Tapi kami ngga sanggup kalau dianggap benalu.
Kami dirujuk dari faskes 2 type C, dengan ruang bersih ber AC, dengan monitor …"
Nia Devi,4 bintang,"Dari sblm lahir, lahiran trs baby juga di rawat di NICU dari segi fasilitas ga ragu, cmn beberapa  dokter residen yg jaga kurang informatif untuk kasi penjelasan ke pasien …"
titania purnamasari,1 bintang,"Gedung elit, parkir di basement sulit. Baru ambil karcis parkir di gedung baru motor parkirnya gak jelas ngehalangi jalan. Petugas parkir cuma 1 orang duduk diplang keluar. …"
Farid Add,5 bintang,"Sungguh luar biasa bagi saya untuk pelayanan terutama di bagian BEDAH ANAK karena dari Agustus 2024 sampai Pebruari 2025 saya merasakan kenyamanan,ketenangan, dan bahagia itu semua berkat pelayanan yang sungguh LUAR BIASA. Penilaian 100 dah …"
Susi Mashanafi,3 bintang,"Tes napza disini, udah selesai tinggal nunggu hasil yang katanya ga lama (katanya biasanya 20 menit) realitanya 5 jam ga kelar2 juga anjir very waste of time! …"
Basuki Dwi Putranto,5 bintang,"Selamat atas telah beroperasinya Gedung Baru KIA.
Semoga dapat memberikan pelayanan yang terbaik untuk peningkatan kesehatan Ibu dan Anak terutama di Bali dan sekitarnya.
🙏👍🏻 …"
Nurul Haslinda,5 bintang,"Pelayanan bagus staf dan dokternya ramah
Hanya saja kita perlu lebih bersabar dengan antrian karena pasiennya lumayan banyak"
Ann,1 bintang,"Pelayanannya buruk sekali, pindah ke gedung baru juga sama saja pelayanannya tidak diperbaiki, pasien saat tanya informasi tidak ada ramah sopan santunnya, jutek ketus, dan staff di bagian register sempet2nya ada yang main game. Antrian …"
